観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎｏ,名称,市町村名,住所,利用時間,駐車場台数,,形式,便器数,,,,,,,,,,多目的（障害者用）トイレ,,,,,,,,,,設　　　備,,,,,,,近隣の観光スポット,特記事項,,,,,,,,,,,,,
,,,,,一般,障害者用,,男性用,,,女性用,,兼用,,子供用,,うちｳｫｼｭﾚｯﾄ,手すり,段差解消,レバー,非常ボタン,ドア形態,"内部ｽﾍﾟｰｽ
ｍ×ｍ",移乗方向,ｳｫｼｭﾚｯﾄ,介護ベッド,オストメイト,蛇口,温風乾燥機,休憩スペース,荷物台・棚,フック,乳幼児イス,乳幼児ベッド,,,,,,,,,,,,,,,
37,河西公園公衆トイレD棟,和歌山市,西庄,終日,160,4,水洗式,,2,2,,2,,,,,,○,○,光感知式,○,引き戸式,2.0×2.0,前方・左から,,,,レバー式,,,,,○,,"河西緩衝緑地
磯の浦海水浴場",多目的トイレ利用時間：9:00～17:00,,,,,,,,汲み取り式,光感知式,外開き式,光感知式,,向かって右から
38,河西公園公衆トイレE棟,和歌山市,西庄,終日,160,4,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・左から,,,,レバー式,,,,,○,,"河西緩衝緑地
磯の浦海水浴場",多目的トイレ利用時間：9:00～17:00,,,,,,,,バイオ式,足踏式,,手動式,,向かって左から
39,河西公園公衆トイレF棟,和歌山市,西庄,終日,160,4,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・左から,,,,レバー式,,,,,,,"河西緩衝緑地
磯の浦海水浴場",多目的トイレ利用時間：9:00～17:00,,,,,,,,,押ボタン式,,,,前方・右から
40,河西公園公衆トイレG棟,和歌山市,西庄,終日,160,4,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・左から,,,,レバー式,,,,,○,,"河西緩衝緑地
磯の浦海水浴場",多目的トイレ利用時間：9:00～17:00,,,,,,,,,,,,,前方・左から
41,河西公園水泳場管理棟,和歌山市,西庄,"10:00
17:00",160,4,水洗式,,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,"河西緩衝緑地
磯の浦海水浴場",利用期間：７月１日～８月３１日　,,,,,,,,,,,,,前方・右・左から
42,河西公園水泳場便所棟,和歌山市,西庄,"10:00
17:00",160,4,水洗式,,1,1,,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方から,,,,手動式,,,,,,,"河西緩衝緑地
磯の浦海水浴場",利用期間：７月１日～８月３１日　,,,,,,,,,,,,,
43,松江緑地公衆トイレA棟,和歌山市,松江中1丁目,"9:00
21:00",11,1,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方から,,,○,手動式,,,,,○,,"河西緩衝緑地
磯の浦海水浴場",多目的トイレ利用時間：9:00～17:00,,,,,,,,,,,,,
44,松江緑地公衆トイレB棟,和歌山市,松江中1丁目,"9:00
17:00",11,1,水洗式,,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,"河西緩衝緑地
磯の浦海水浴場",,,,,,,,,,,,,,
45,西松江緑地公衆トイレ棟,和歌山市,松江西,終日,60,2,水洗式,,2,3,,3,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方から,,,○,手動式,,,,,,,"河西緩衝緑地
磯の浦海水浴場",,,,,,,,,,,,,,
46,西松江緑地体育館,和歌山市,松江西,"8:30
21:00",60,2,水洗式,1,2,4,2,1,,,,,,○,○,足踏式,○,引き戸式,2.0×2.0,前方・右から,,,○,手動式,,,,,,,"河西緩衝緑地
磯の浦海水浴場",多目的トイレ利用時間：9:00～21:00,,,,,,,,,,,,,
47,東松江緑地管理棟,和歌山市,松江東1丁目,"9:00
17:00",22,2,水洗式,,1,2,1,1,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方から,,,○,光感知式,,,,○,○,○,河西緩衝緑地,,,,,,,,,,,,,,
48,湊緑地公衆トイレ棟,和歌山市,湊,"9:00
17:00",23,1,水洗式,,1,2,,2,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方から,,,○,手動式,,,,,,,河西緩衝緑地,,,,,,,,,,,,,,
49,片男波公園駐車場公衆トイレ,和歌山市,和歌浦南3丁目1700-2,終日,209,6,水洗式,1,1,3,2,1,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・右・左から,,,○,光感知式,,,○,○,,○,妹背山、鏡山、不老橋、玉津島神社、塩釜神社、東照宮、天満宮、片男波海水浴場,,,,,,,,,,,,,,
50,片男波公園公衆トイレ,和歌山市,和歌浦南3丁目1700-2,"9:00
17:00",209,6,水洗式,,2,3,,3,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・右・左から,,,○,押ボタン式,,,○,○,,,妹背山、鏡山、不老橋、玉津島神社、塩釜神社、東照宮、天満宮、片男波海水浴場,,,,,,,,,,,,,,
51,健康館,和歌山市,和歌浦南3丁目1700-2,"9:00
21:00",209,6,水洗式,1,1,3,1,3,,,,1,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・右・左から,,,○,光感知式,,,○,○,,,妹背山、鏡山、不老橋、玉津島神社、塩釜神社、東照宮、天満宮、片男波海水浴場,,,,,,,,,,,,,,
52,万葉館,和歌山市,和歌浦南3丁目1700-2,"9:00
17:00",209,6,水洗式,1,,2,2,,,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・右・左から,,,,光感知式,,,○,,○,○,妹背山、鏡山、不老橋、玉津島神社、塩釜神社、東照宮、天満宮、片男波海水浴場,,,,,,,,,,,,,,
53,８の字公園公衆トイレ,和歌山市,和歌浦南3丁目4,終日,,,水洗式,,1,1,,1,1,,,,,○,○,押ボタン式,○,引き戸式,2.0×2.0,前方・右・左から,,,○,光感知式,,,,○,,,妹背山、鏡山、不老橋、玉津島神社、塩釜神社、東照宮、天満宮、片男波海水浴場,和歌山一きれいなトイレとしてマスコミで取り上げられた。,,,,,,,,,,,,,
54,８の字公園（東出）公衆トイレ,和歌山市,和歌浦南2丁目3,終日,,,水洗式,,,2,,,,1,,,,,,,,引き戸式,,,,,,,,,,,,,妹背山、鏡山、不老橋、玉津島神社、塩釜神社、東照宮、天満宮、片男波海水浴場,,,,,,,,,,,,,,
55,藤白神社,海南市,海南市藤白434-1,終日,30,1,水洗式,,1,2,1,2,,,,,,○,○,くつべら式,○,引き戸式,1.8×2.2,向かって右から,,,,光感知式,,○,○,,,○,藤白神社、鈴木屋敷,全国の鈴木姓のルーツと言われる鈴木氏の屋敷があります。,,,,,,,,,,,,,
56,亀池広場公衆トイレ,海南市,海南市阪井452,終日,35,,汲み取り式,,1,2,1,1,,,,,,,,,,,,,,,,手動式,,○,,,,,亀池,"春には約2,000本もの桜が花開き、訪れる人を楽しませます。",,,,,,,,,,,,,
